,OBJECT,LAT,LON,ALTITUDE,ALT_NORM,NEAR_TEMPLE,NEAR_BATTLE_SITE,NEAR_ANCIENT_HARBOR,NEAR_POLIS,NEAR_MODERN_CITY,CLASSIFICATION
45,Kleines Hängegefäß mit Tierprotome,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
46,Fragment eines Dreifußes (Stabdreifußes) mit Pferdeprotome,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
47,Fragment eines dünnen Blechs,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
48,Kleines Schwertchen mit kreuzförmigem,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
49,Fragment vom Dach einer Tholos beim Nymphäum des Herodes Atticus,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
50,Archaische Statuette eines bärtigen Mannes,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
51,Gerätfuß: Kralle auf Profilrand (unten konkav),37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
52,"Kopf einer ""monumentalen"" Greifenprotome. Knauf und Ohren verloren. Flickstellen. Kernmasse mit Stützenresten",37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
53,Fragment eines Dreifußbeins mit flachen Kanneluren und Zickzackornament,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
54,Große geometrische Fibel mit breitem gewölbten Bügel,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
55,Schreitender Greif. Zierfigur eines Dreifußes (Stabdreifuβes),37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
56,Archaische Statuette eines stehenden Mädchens,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
57,Kesselattasche mit gefügeltem Greifenkopf (Attasche in Form eines Vogels),37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
58,Blech in Form eines Blattes mit gezacktem Rand,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
59,Kleines Fragment eines mit Silber gefüllten Rundstabes aus Blei,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
60,Gewicht oder Siegel,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
61,Reliefplatte mit geflügelter Sphinx,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
62,Kleiner Henkel (Haken?) vom Gefäßrand in Form eines Entenkopfes,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
63,Kleiner Hahn,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
64,Fragment eines dünnen Blechs,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
65,Archaische Statuette eines nackten Jünglings (Kouros),37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
66,Assyrische Statuette eines Priesters,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
67,Kleiner geriefelter Zylinder,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
68,Greifenprotome. Oberfläche zerstört. Riss unterhalb des Kopfansatzes. Starke Ausblühungen. Ohren u. Knauf fragmentiert bzw. verloren,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
69,Knotiger Rundstab,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
70,Quaderförmige Basis mit den Füßen einer verlorenen Kurosstatuette,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
71,Votivstatuette: Rind,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
72,Proxenieliste der Lusiaten: Scheibe aus dünnem Bronzeblech mit hocharchaischer griechischer Inschrift in 13 Zeilen: ΠPΟΞΕΝΟΙ / ΛΟVΣΕΑΤΑΝ…,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
73,Greifenprotome,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
74,Gewicht mit lateinischer Inschrift IIVIR und Tempelfassade (?),37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
75,Gebogener Streifen mit Zackenlinie à jour. Flüchtig und roh. Reduziert (Ringhenkelfragment eines geometrischen Dreifußes),37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
76,Statuette eines gelagerten bärtigen Mannes (Symposiast); Randschmuck eines Kessels,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
77,Archaische Statuette eines Kuros mit Spendekanne in der Rechten. Linke Hand und rechte Fußspitze fehlen,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
78,Ganz kleiner Ring,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
79,Omphalosschale,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
80,Fragment eines gepressten Blechs,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
81,Blechfragment mit gestanzten Schuppen. Zwei Niete mit Resten des untergelegten Bleches,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
82,Greifenprotome. Größter Teil des linken (?) Ohrs,37.7547857,26.9777701,11.0036211,0.86,1,1,1,1,1,1
83,Heraklesknabe mit den Schlangen ringend. Fragment. Die untere Hälfte der Arme und Beine fehlen,37.9429857,23.6469832,13.54372883,0.88,1,1,1,1,1,1
84,Blechtülle von einer Fackel (?),37.9429857,23.6469832,13.54372883,0.88,1,1,1,1,1,1
85,Henkelfragment (?); hinten mit starken Nieten (auf einem) Stück Blech befestigt,37.9429857,23.6469832,13.54372883,0.88,1,1,1,1,1,1
86,Gefäßgriff in Form eines anspringenden Löwen,37.5969444,27.4277456,13.60765934,0.88,1,0,1,1,1,1
87,Figur eines nackten Mannes,36.4126577,28.1554071,15.39040852,0.9,1,0,1,1,1,1
88,Fragment eines Musikinstruments (?) - Sog. Schwanengöttin,37.9484155,27.3680552,15.5389204,0.9,1,0,1,1,1,1
89,Kylix,37.9484155,27.3680552,15.5389204,0.9,1,0,1,1,1,1
90,Gelockte Haarsträhne (Fragment einer Bronzestatue),38.4645245,23.6050695,18.2677269,0.93,1,1,1,1,1,1
91,Archaische Statuette des Zeus (?) mit griechischer Weihinschrift an (Apollo) Ismenios auf den Schenkeln,38.4645245,23.6050695,18.2677269,0.93,1,1,1,1,1,1
92,Fragment. Gelochtes Plättchen,36.7568159,24.5107957,18.82959366,0.93,1,1,1,1,0,1
93,Statuette eines gepanzerten bärtigen Kriegers (Hoplit),37.1035665,25.3776734,18.92879105,0.93,1,1,1,0,1,1
94,Diskus,37.8216582,23.7754127,22.95443726,0.97,1,1,1,1,1,1
95,Nagel mit profiliertem Knopf,37.8216582,23.7754127,22.95443726,0.97,1,1,1,1,1,1
96,Archaische Satyrstatuette,39.875434,20.01031,29.54465485,1,1,1,1,1,1,1
97,Korinth,39.875434,20.01031,29.54465485,1,1,1,1,1,1,1
98,Object type: neck-amphora,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
99,Object type: moulding,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
100,Object type: basket,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
101,Object type: askos,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
102,Object type: votive figure,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
103,Rind (Stier),37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
104,Object type: scarab,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
105,Rechter Unterarm einer Statuette,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
106,Object type: oinochoe,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
107,Object type: figure,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
108,Object type: coin,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
109,Object type: armlet,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
110,Quadratisches Gewicht mit griechischer Inschrift (ΔΙΟΣ),37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
111,Object type: amphora,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
112,Object type: amphoriskos,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
113,Object type: funerary equipment; frieze,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
114,Object type: cup,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
115,Object type: coin,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
116,Object type: alabastron,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
117,Object type: bench,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
118,Object type: statue,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
119,Object type: fitting,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
120,Object type: oinochoe,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
121,Object type: scaraboid; finger-ring,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
122,Object type: bust,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
123,Object type: chytra,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
124,Object type: kantharos,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
125,Object type: fitting,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
126,Object type: jewellery,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
127,Object type: finger-ring,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
128,Object type: stela,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
129,Object type: chalice,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
130,Object type: block,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
131,Object type: alabastron,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
132,Object type: cup,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
133,Einstufiges quadratisches Gewicht (äginetischer Standard,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
134,Object type: necklet,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
135,Object type: vessel,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
136,Object type: perirrhanterion,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
137,Object type: hydria,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
138,Object type: token,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
139,Miniaturdreifußbein mit erhaltenem angenietetem Kesselrest,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
140,Object type: medallion,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
141,Object type: finger-ring,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
142,Object type: cup,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
143,Object type: bowl,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
144,Object type: statue,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
145,Object type: figure,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
146,Object type: treaty; tablet,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
147,Object type: kylix,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
148,Object type: bowl,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
149,Gefäßhenkel (Wulsthenkel),37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
150,Object type: spatula,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
151,Vierstufiges quadratisches Gewicht (äginetischer Standard,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
